Date,Adj Close SPY
11/26/2001,105.52
11/27/2001,105.06
11/28/2001,103.16
11/29/2001,104.55
11/30/2001,103.81
12/3/2001,103.19
12/4/2001,104.93
12/5/2001,106.85
12/6/2001,106.8
12/7/2001,106.09
12/10/2001,104.11
12/11/2001,103.9
12/12/2001,104.02
12/13/2001,101.99
12/14/2001,102.97
12/17/2001,104.03
12/18/2001,104.65
12/19/2001,105.39
12/20/2001,104.35
12/21/2001,104.62
12/24/2001,104.42
12/26/2001,105
12/27/2001,105.64
12/28/2001,105.58
12/31/2001,104.03
1/2/2002,105.15
1/3/2002,106.35
1/4/2002,107.06
1/7/2002,106.3
1/8/2002,106.05
1/9/2002,105.19
1/10/2002,105.65
1/11/2002,104.62
1/14/2002,103.96
1/15/2002,104.81
1/16/2002,102.69
1/17/2002,103.46
1/18/2002,102.99
1/22/2002,102.28
1/23/2002,103.06
1/24/2002,103.38
1/25/2002,103.35
1/28/2002,103.63
1/29/2002,100.37
1/30/2002,101.82
1/31/2002,103.01
2/1/2002,102.53
2/4/2002,99.98
2/5/2002,99.36
2/6/2002,98.94
2/7/2002,98.32
2/8/2002,100.2
2/11/2002,101.43
2/12/2002,101.11
2/13/2002,102.19
2/14/2002,101.99
2/15/2002,100.93
2/19/2002,98.99
2/20/2002,100.66
2/21/2002,98.57
2/22/2002,99.79
2/25/2002,101.44
2/26/2002,101.23
2/27/2002,101.62
2/28/2002,101.17
3/1/2002,103.52
3/4/2002,105.35
3/5/2002,105.02
3/6/2002,106.26
3/7/2002,106.04
3/8/2002,106.48
3/11/2002,106.71
3/12/2002,106.65
3/13/2002,105.62
3/14/2002,105.47
3/15/2002,106.48
3/18/2002,106.49
3/19/2002,107.21
3/20/2002,105.19
3/21/2002,105.23
3/22/2002,105.01
3/25/2002,103.7
3/26/2002,104.3
3/27/2002,104.58
3/28/2002,104.53
4/1/2002,104.58
4/2/2002,104
4/3/2002,103.27
4/4/2002,102.84
4/5/2002,102.86
4/8/2002,103.08
4/9/2002,102.36
4/10/2002,103.52
4/11/2002,100.94
4/12/2002,101.7
4/15/2002,100.93
4/16/2002,103.33
4/17/2002,103.11
4/18/2002,102.66
4/19/2002,103.04
4/22/2002,101.32
4/23/2002,100.88
4/24/2002,99.87
4/25/2002,99.92
4/26/2002,98.02
4/29/2002,97.54
4/30/2002,98.45
5/1/2002,99.66
5/2/2002,99.27
5/3/2002,98.2
5/6/2002,96.27
5/7/2002,95.93
5/8/2002,99.5
5/9/2002,98.35
5/10/2002,96.5
5/13/2002,98.46
5/14/2002,100.61
5/15/2002,100.21
5/16/2002,100.73
5/17/2002,101.23
5/20/2002,100.13
5/21/2002,99.22
5/22/2002,99.44
5/23/2002,100.5
5/24/2002,99.21
5/28/2002,98.67
5/29/2002,97.94
5/30/2002,97.67
5/31/2002,97.87
6/3/2002,95.27
6/4/2002,95.5
6/5/2002,96.4
6/6/2002,94.44
6/7/2002,94.33
6/10/2002,94.69
6/11/2002,93.07
6/12/2002,93.63
6/13/2002,92.69
6/14/2002,92.56
6/17/2002,95.04
6/18/2002,95.82
6/19/2002,93.58
6/20/2002,92.38
6/21/2002,90.94
6/24/2002,91.41
6/25/2002,89.36
6/26/2002,89.51
6/27/2002,91.08
6/28/2002,90.65
7/1/2002,88.88
7/2/2002,86.99
7/3/2002,87.49
7/5/2002,90.97
7/8/2002,89.83
7/9/2002,87.57
7/10/2002,84.38
7/11/2002,85.07
7/12/2002,84.13
7/15/2002,84.58
7/16/2002,82.95
7/17/2002,83.12
7/18/2002,80.42
7/19/2002,77.59
7/22/2002,75.29
7/23/2002,73.23
7/24/2002,77.6
7/25/2002,76.94
7/26/2002,78.41
7/29/2002,82.23
7/30/2002,83.3
7/31/2002,83.5
8/1/2002,81.32
8/2/2002,79.5
8/5/2002,76.73
8/6/2002,79.31
8/7/2002,80.7
8/8/2002,83.31
8/9/2002,83.62
8/12/2002,83.01
8/13/2002,81.49
8/14/2002,84.47
8/15/2002,85.64
8/16/2002,85.39
8/19/2002,87.38
8/20/2002,86.46
8/21/2002,87.71
8/22/2002,88.56
8/23/2002,86.65
8/26/2002,87.26
8/27/2002,86.25
8/28/2002,84.36
8/29/2002,84.4
8/30/2002,84.07
9/3/2002,80.86
9/4/2002,82.02
9/5/2002,81.32
9/6/2002,82.44
9/9/2002,83.04
9/10/2002,84
9/11/2002,83.47
9/12/2002,81.93
9/13/2002,82.14
9/16/2002,82.34
9/17/2002,80.45
9/18/2002,79.64
9/19/2002,77.58
9/20/2002,77.61
9/23/2002,76.97
9/24/2002,75.73
9/25/2002,77.61
9/26/2002,78.88
9/27/2002,76.14
9/30/2002,75.25
10/1/2002,78.87
10/2/2002,76.51
10/3/2002,75.73
10/4/2002,74.34
10/7/2002,72.81
10/8/2002,73.95
10/9/2002,71.86
10/10/2002,74.19
10/11/2002,77.43
10/14/2002,77.87
10/15/2002,81.61
10/16/2002,79.63
10/17/2002,81.22
10/18/2002,81.56
10/21/2002,82.96
10/22/2002,82.37
10/23/2002,82.99
10/24/2002,81.3
10/25/2002,82.99
10/28/2002,82.45
10/29/2002,81.49
10/30/2002,82.28
10/31/2002,81.45
11/1/2002,83.06
11/4/2002,83.85
11/5/2002,84.51
11/6/2002,85.6
11/7/2002,83.51
11/8/2002,82.49
11/11/2002,81.21
11/12/2002,81.85
11/13/2002,81.93
11/14/2002,83.48
11/15/2002,84.1
11/18/2002,83.25
11/19/2002,83.14
11/20/2002,84.99
11/21/2002,86.57
11/22/2002,85.95
11/25/2002,86.01
11/26/2002,84.37
11/27/2002,86.75
11/29/2002,86.47
12/2/2002,86.61
12/3/2002,85.45
12/4/2002,85.06
12/5/2002,84.12
12/6/2002,84.68
12/9/2002,82.35
12/10/2002,83.45
12/11/2002,83.53
12/12/2002,83.52
12/13/2002,82.2
12/16/2002,84.33
12/17/2002,83.59
12/18/2002,82.62
12/19/2002,82.03
12/20/2002,83.21
12/23/2002,83.23
12/24/2002,82.61
12/26/2002,82.65
12/27/2002,80.79
12/30/2002,81.47
12/31/2002,81.58
1/2/2003,84.2
1/3/2003,84.46
1/6/2003,85.95
1/7/2003,85.74
1/8/2003,84.5
1/9/2003,85.81
1/10/2003,86.04
1/13/2003,86.02
1/14/2003,86.29
1/15/2003,85.43
1/16/2003,85.08
1/17/2003,83.82
1/21/2003,82.52
1/22/2003,81.52
1/23/2003,82.02
1/24/2003,79.87
1/27/2003,78.78
1/28/2003,79.36
1/29/2003,79.96
1/30/2003,78.06
1/31/2003,79.57
2/3/2003,79.73
2/4/2003,78.94
2/5/2003,78.45
2/6/2003,78.08
2/7/2003,77.13
2/10/2003,77.68
2/11/2003,77.14
2/12/2003,75.91
2/13/2003,76.14
2/14/2003,77.81
2/18/2003,79.17
2/19/2003,78.76
2/20/2003,77.97
2/21/2003,78.76
2/24/2003,77.48
2/25/2003,78.1
2/26/2003,76.96
2/27/2003,77.98
2/28/2003,78.5
3/3/2003,77.75
3/4/2003,76.51
3/5/2003,77.16
3/6/2003,76.51
3/7/2003,77.04
3/10/2003,75.19
3/11/2003,74.45
3/12/2003,74.95
3/13/2003,77.54
3/14/2003,77.79
3/17/2003,80.24
3/18/2003,80.71
3/19/2003,81.33
3/20/2003,81.5
3/21/2003,83.24
3/24/2003,80.48
3/25/2003,81.25
3/26/2003,80.84
3/27/2003,80.9
3/28/2003,80.5
3/31/2003,78.67
4/1/2003,79.87
4/2/2003,81.8
4/3/2003,81.41
4/4/2003,81.9
4/7/2003,81.74
4/8/2003,81.87
4/9/2003,80.79
4/10/2003,81.24
4/11/2003,80.9
4/14/2003,82.58
4/15/2003,83.35
4/16/2003,81.93
4/17/2003,83.14
4/21/2003,83.23
4/22/2003,84.79
4/23/2003,85.57
4/24/2003,84.81
4/25/2003,83.76
4/28/2003,85.21
4/29/2003,85.51
4/30/2003,85.32
5/1/2003,85.31
5/2/2003,86.53
5/5/2003,86.36
5/6/2003,87.18
5/7/2003,86.7
5/8/2003,85.82
5/9/2003,87.01
5/12/2003,88.08
5/13/2003,87.92
5/14/2003,87.74
5/15/2003,88.29
5/16/2003,88.07
5/19/2003,86.01
5/20/2003,85.83
5/21/2003,86.01
5/22/2003,86.86
5/23/2003,87.04
5/27/2003,88.56
5/28/2003,88.81
5/29/2003,88.58
5/30/2003,90
6/2/2003,90.37
6/3/2003,90.74
6/4/2003,92.05
6/5/2003,92.51
6/6/2003,92.15
6/9/2003,91.21
6/10/2003,92.14
6/11/2003,93.11
6/12/2003,93.4
6/13/2003,92.43
6/16/2003,94.37
6/17/2003,94.37
6/18/2003,94.29
6/19/2003,92.85
6/20/2003,92.65
6/23/2003,91.7
6/24/2003,91.79
6/25/2003,90.87
6/26/2003,92.05
6/27/2003,90.99
6/30/2003,90.96
7/1/2003,91.8
7/2/2003,92.95
7/3/2003,91.99
7/7/2003,93.82
7/8/2003,94.24
